UTC,Open,High,Low,Close,Volume
24.11.2022 03:42:00.000 UTC,1.04379,1.0439,1.04379,1.04381,386.44
24.11.2022 03:43:00.000 UTC,1.04381,1.04386,1.04369,1.04373,441.8
24.11.2022 03:44:00.000 UTC,1.04374,1.04377,1.04367,1.04372,276.85
24.11.2022 03:45:00.000 UTC,1.0437,1.04376,1.0437,1.04373,234.53
24.11.2022 03:46:00.000 UTC,1.04372,1.04386,1.04369,1.04386,201.29
24.11.2022 03:47:00.000 UTC,1.04385,1.0441,1.04383,1.04393,408.1
24.11.2022 03:48:00.000 UTC,1.04392,1.04426,1.04389,1.04426,301.5
24.11.2022 03:49:00.000 UTC,1.04427,1.04435,1.04407,1.04435,320.05
24.11.2022 03:50:00.000 UTC,1.04434,1.04442,1.0443,1.04436,339.86
24.11.2022 03:51:00.000 UTC,1.04438,1.04445,1.04437,1.04442,160.54
24.11.2022 03:52:00.000 UTC,1.04442,1.04442,1.04425,1.04437,162.3
24.11.2022 03:53:00.000 UTC,1.04435,1.04444,1.04432,1.04442,93.62
24.11.2022 03:54:00.000 UTC,1.04443,1.04462,1.04442,1.04456,232.32
24.11.2022 03:55:00.000 UTC,1.04455,1.04457,1.04441,1.04448,371.9
24.11.2022 03:56:00.000 UTC,1.04449,1.04451,1.04441,1.04451,146.6
24.11.2022 03:57:00.000 UTC,1.04453,1.04453,1.04437,1.04437,198.08
24.11.2022 03:58:00.000 UTC,1.04437,1.04469,1.04436,1.04462,328.29
24.11.2022 03:59:00.000 UTC,1.04461,1.04477,1.04455,1.04458,374.81
24.11.2022 04:00:00.000 UTC,1.04458,1.04458,1.04435,1.04437,239.67
24.11.2022 04:01:00.000 UTC,1.04437,1.04439,1.04411,1.04418,368.24
24.11.2022 04:02:00.000 UTC,1.04418,1.04423,1.04404,1.04405,295.04
24.11.2022 04:03:00.000 UTC,1.04405,1.04408,1.04385,1.04385,99.1
24.11.2022 04:04:00.000 UTC,1.04387,1.04387,1.04376,1.0438,117.97
24.11.2022 04:05:00.000 UTC,1.04381,1.04388,1.0438,1.0438,140.2
24.11.2022 04:06:00.000 UTC,1.0438,1.0438,1.04365,1.04372,147.49
24.11.2022 04:07:00.000 UTC,1.04371,1.04373,1.04365,1.04372,168.3
24.11.2022 04:08:00.000 UTC,1.04373,1.04376,1.04347,1.04349,101.34
24.11.2022 04:09:00.000 UTC,1.04349,1.04352,1.04339,1.04341,303.68
24.11.2022 04:10:00.000 UTC,1.0434,1.04348,1.04338,1.04348,346.14
24.11.2022 04:11:00.000 UTC,1.04347,1.04357,1.04347,1.04349,229.03
24.11.2022 04:12:00.000 UTC,1.04349,1.04354,1.04346,1.04349,210.49
24.11.2022 04:13:00.000 UTC,1.04348,1.04367,1.04348,1.04364,178.89
24.11.2022 04:14:00.000 UTC,1.04364,1.04368,1.0436,1.04362,345.61
24.11.2022 04:15:00.000 UTC,1.04363,1.04363,1.04351,1.04351,162.44
24.11.2022 04:16:00.000 UTC,1.04353,1.04357,1.04349,1.04349,76.36
24.11.2022 04:17:00.000 UTC,1.0435,1.0435,1.04342,1.04342,72.76
24.11.2022 04:18:00.000 UTC,1.04345,1.04346,1.04342,1.04346,134.62
24.11.2022 04:19:00.000 UTC,1.04348,1.04348,1.04333,1.04334,236.58
24.11.2022 04:20:00.000 UTC,1.04336,1.04339,1.04319,1.04322,236.02
24.11.2022 04:21:00.000 UTC,1.04324,1.04328,1.0432,1.0432,87.82
24.11.2022 04:22:00.000 UTC,1.04321,1.04336,1.04316,1.04331,209.72
24.11.2022 04:23:00.000 UTC,1.04331,1.04333,1.04327,1.04332,182.52
24.11.2022 04:24:00.000 UTC,1.04333,1.04335,1.04327,1.04329,183.56
24.11.2022 04:25:00.000 UTC,1.0433,1.04333,1.04329,1.04332,184.38
24.11.2022 04:26:00.000 UTC,1.04333,1.04344,1.04332,1.04337,196.89
24.11.2022 04:27:00.000 UTC,1.04337,1.04339,1.04335,1.04337,276.12
24.11.2022 04:28:00.000 UTC,1.04339,1.04353,1.04339,1.04344,232.55
24.11.2022 04:29:00.000 UTC,1.04342,1.04353,1.04342,1.04343,151.26
24.11.2022 04:30:00.000 UTC,1.04344,1.04344,1.04339,1.04339,98.52
24.11.2022 04:31:00.000 UTC,1.04342,1.04344,1.04338,1.04341,173.73
24.11.2022 04:32:00.000 UTC,1.0434,1.0434,1.04334,1.04336,147.34
24.11.2022 04:33:00.000 UTC,1.04337,1.04337,1.04322,1.04329,256.48
24.11.2022 04:34:00.000 UTC,1.0433,1.04336,1.04329,1.04331,360.14
24.11.2022 04:35:00.000 UTC,1.04332,1.04342,1.0433,1.0434,294.92
24.11.2022 04:36:00.000 UTC,1.04339,1.04352,1.04336,1.04351,202.12
24.11.2022 04:37:00.000 UTC,1.04352,1.04383,1.04352,1.04381,283.18
24.11.2022 04:38:00.000 UTC,1.04382,1.04386,1.04381,1.04385,175.04
24.11.2022 04:39:00.000 UTC,1.04387,1.04388,1.04371,1.04371,132.35
24.11.2022 04:40:00.000 UTC,1.04372,1.04377,1.04371,1.04377,33.96
24.11.2022 04:41:00.000 UTC,1.04377,1.04383,1.04373,1.04373,195
24.11.2022 04:42:00.000 UTC,1.04371,1.04392,1.04366,1.04391,255.23
24.11.2022 04:43:00.000 UTC,1.0439,1.0439,1.04381,1.04381,203.03
24.11.2022 04:44:00.000 UTC,1.04381,1.04382,1.04373,1.04375,379.61
24.11.2022 04:45:00.000 UTC,1.04373,1.04394,1.04366,1.0439,283.37
24.11.2022 04:46:00.000 UTC,1.04389,1.04404,1.04389,1.044,429.56
24.11.2022 04:47:00.000 UTC,1.04399,1.04415,1.04396,1.04414,311.23
24.11.2022 04:48:00.000 UTC,1.04412,1.04428,1.04405,1.04424,520.7
24.11.2022 04:49:00.000 UTC,1.04423,1.04446,1.04412,1.04427,504.49
24.11.2022 04:50:00.000 UTC,1.04426,1.0443,1.04419,1.04419,439.31
24.11.2022 04:51:00.000 UTC,1.04419,1.04422,1.04412,1.04418,277.16
24.11.2022 04:52:00.000 UTC,1.04418,1.0443,1.04407,1.0443,186.18
24.11.2022 04:53:00.000 UTC,1.0443,1.04432,1.04425,1.0443,173.84
24.11.2022 04:54:00.000 UTC,1.04431,1.04435,1.04427,1.04432,171.84
24.11.2022 04:55:00.000 UTC,1.04437,1.04451,1.04437,1.0445,244.01
24.11.2022 04:56:00.000 UTC,1.04451,1.04455,1.04436,1.04436,253.88
24.11.2022 04:57:00.000 UTC,1.04437,1.04463,1.04436,1.04462,200.93
24.11.2022 04:58:00.000 UTC,1.04463,1.04484,1.04461,1.04468,467.46
24.11.2022 04:59:00.000 UTC,1.0447,1.04472,1.04461,1.04462,264.82
24.11.2022 05:00:00.000 UTC,1.04463,1.04464,1.04451,1.04462,360.53
24.11.2022 05:01:00.000 UTC,1.04461,1.04464,1.04451,1.04451,282.15
24.11.2022 05:02:00.000 UTC,1.04451,1.04466,1.04451,1.04463,184.03
24.11.2022 05:03:00.000 UTC,1.04463,1.04464,1.04459,1.04459,141.85
24.11.2022 05:04:00.000 UTC,1.0446,1.04462,1.0444,1.04441,178.92
24.11.2022 05:05:00.000 UTC,1.04443,1.04443,1.04432,1.04436,219.72
24.11.2022 05:06:00.000 UTC,1.04436,1.04437,1.04422,1.0443,267.08
24.11.2022 05:07:00.000 UTC,1.0443,1.0443,1.0442,1.0442,187.83
24.11.2022 05:08:00.000 UTC,1.04422,1.04428,1.04415,1.04426,291.83
24.11.2022 05:09:00.000 UTC,1.04427,1.04432,1.0442,1.0442,215.93
24.11.2022 05:10:00.000 UTC,1.0442,1.04423,1.04406,1.04407,323.18
24.11.2022 05:11:00.000 UTC,1.04408,1.0441,1.04391,1.04397,381.94
24.11.2022 05:12:00.000 UTC,1.04396,1.04398,1.04386,1.04396,216.66
24.11.2022 05:13:00.000 UTC,1.04398,1.04401,1.04386,1.04393,355.34
24.11.2022 05:14:00.000 UTC,1.04394,1.04396,1.04379,1.04379,276.13
24.11.2022 05:15:00.000 UTC,1.04379,1.04394,1.0437,1.04391,278.24
24.11.2022 05:16:00.000 UTC,1.04393,1.04401,1.04392,1.04401,296.43
24.11.2022 05:17:00.000 UTC,1.04401,1.04413,1.04394,1.04398,347.29
24.11.2022 05:18:00.000 UTC,1.04398,1.04406,1.04392,1.04404,257.42
24.11.2022 05:19:00.000 UTC,1.04405,1.04411,1.04395,1.04395,301.24
24.11.2022 05:20:00.000 UTC,1.04396,1.04399,1.04386,1.04386,430.66
24.11.2022 05:21:00.000 UTC,1.04386,1.04395,1.0438,1.04391,303.18
24.11.2022 05:22:00.000 UTC,1.04393,1.04401,1.04388,1.04391,252.46
